count	nama_komoditas
3	Bank Sampah
3	Barang Konsumsi Di Gerai Sembako
3	Barbershop Atau Salon
3	Bayam
3	Belihara Ternak Babi
3	Bengkel
3	Bengkel Las
3	Beras Balikpapan
3	Beras Fs
3	Beras Medium
3	Beras Premium Bulog
3	Bisnis Lpg 3 Kg Minyak Tanah
3	Buah Rambutan
3	Buah Semangka
3	Budidaya Ikan Air Tawar Kolam Petani Ikan Air Tawar
3	Bulog
3	Cafe
3	Cafe Resto
3	Daur Ulang Sampah Plastik
3	Galian C
3	Galon Air Minum
3	Gambas
3	Gas Elpiji
3	Gerai Pos
3	Gerai Sembako Dan Ayam Petelur
3	Hasil Cengkeh
3	Holtikultura
3	Ikan Asap
3	Ikan Bandeng
3	Ikan Teri Kering
3	Jagung Hibrida
3	Jahe Merah
3	Jasa Sarana Produksi Penangkapan Ikan Di Laut
3	Jual Beli Sawit
3	Jumlah Kk
3	Kakao Coklat
3	Kebutuhan Rumah Tangga
3	Kelapa Sawit Rakyat
3	Kios Sembako Bbm Eceran Minyak Tanah
3	Konsumsi Beras
3	Kopi Kapal Api Silver
3	Kopi Lokal
3	Kopi Sachet
3	Kulit Manis
3	Lain Lain
3	Laundry Dan Kebersihan
3	Materai
3	Mebel Kayu Kusen Kayu Dll
3	Minimarket Koperasi Merah Putih
3	Minyak Goreng Mitra 2 Liter
3	Mitra Mbg
3	Nelayan Tradisional
3	Pakan Ternak
3	Pangkalan Minyak Khusus Solar Subsidi
3	Pasar Rakyat
3	Pasar Tradisional
3	Pedangang Pasar
3	Pembuatan Batako
3	Pengecer Pupuk Bersubsidi
3	Perdaganagan Eceran Gas Elpiji
3	Perikanan Benih Ikan Nila
3	Perikanan Dan Kelautan
3	Perikanan Tambak
3	Perkantoran Pemeritah
3	Perkebunan Masyarakat
3	Pertanian Cabai Dan Sayur Sayuran
3	Petani Coklat
3	Petani Kopra
3	Petani Singkong
3	Peternakan Ayam Bebek Kambing Sapi
3	Pln Agen Pt Perusahaan Listrik Negara Persero Pembayaran Ppob
3	Pohon Cengkeh
3	Pohon Pala
3	Rambutan
3	Rotan
3	Rumah Makan
3	Sapi Ternak
3	Sawah
3	Sawi
3	Sayur Sawi
3	Sembako Produk Umkm Dan Jasa
3	Tabung Gas
3	Tambak Udang
3	Ternak Kambing Domba
3	Ternak Sapi Potong
3	Toko Alat Tulis Fotocopy
3	Toko Bangunan
3	Toko Sembako
3	Umkm Sembako
3	Umkm Tempe Dan Tahu
3	Usaha Bengkel Las
3	Usaha Kerajinan Abon Ikan
3	Warung Nasi
2	45 Rumah Warung Makan Kbli 56102
2	Agen Bri Link
2	Agen Brilink Living Mandiri Bsi Bni
2	Agen Penjualan Tiket Jasa Transportasi Laut Dan Udara
2	Agen Penyaluran Minyak Tanah
2	Agen Pos
2	Agrowisata
2	Air Bersih
2	Air Minum
2	Air Minum Kemasan
2	Anyaman Noken
2	Ayam Kampung Petelur Dan Pedaging
2	Ayam Pedaging
2	Ayam Potong
2	Bebek Petelur
2	Bengkel Las Dan Meubel
2	Bengkel Motor Dan Mobil
2	Beragam Pisang
2	Beras 2 Jempol
2	Beras Jagung Kacang Kopi Dan Palawija Lainnya
2	Buah Kolang Kaling
2	Buah Manggis
2	Buah Nenas
2	Budidaya Dan Jual Beli Ikan Mujair Nila Bawal Dan Ikan Lele
2	Budidaya Ikan Air Tawar
2	Budidaya Ikan Kolam Terpal Bioflog
2	Budidaya Ikan Konsumsi Nila Bawal Lele Patin
2	Budidaya Ikan Nila Dan Emas
2	Buncis
2	Cabai Lokal
2	Camping
2	Catering
2	Cengkeh Kering
2	Cold Storage Nelayan
2	Cumi-Cumi
2	Daging Segar
2	Dapur Mbg
2	Daun Bawang
2	Depot Air Minum
2	Distributor Penyedian Bibit Jagung Dan Obat Obatan Pertanian Jagung
2	Es Batu Kristal
2	Gas 3 Kg
